SAMPLE_ID	mutations	structural_variants
aml_ohsu_2018_09-00705	WXS	WXS
aml_ohsu_2018_10-00136	WXS	WXS
aml_ohsu_2018_10-00172	WXS	WXS
aml_ohsu_2018_10-00507	WXS	WXS
aml_ohsu_2018_10-00542	WXS	WXS
aml_ohsu_2018_10-00669	WXS	WXS
aml_ohsu_2018_10-00692	WXS	WXS
aml_ohsu_2018_10-00715	WXS	WXS
aml_ohsu_2018_10-00791	WXS	WXS
aml_ohsu_2018_10-00792	WXS	WXS
aml_ohsu_2018_10-00819	WXS	WXS
aml_ohsu_2018_11-00049	WXS	WXS
aml_ohsu_2018_11-00090	WXS	WXS
aml_ohsu_2018_11-00162	WXS	WXS
aml_ohsu_2018_11-00170	WXS	WXS
aml_ohsu_2018_11-00178	WXS	WXS
aml_ohsu_2018_11-00254	WXS	WXS
aml_ohsu_2018_11-00261	WXS	WXS
aml_ohsu_2018_11-00295	WXS	WXS
aml_ohsu_2018_11-00319	WXS	WXS
aml_ohsu_2018_12-00069	WXS	WXS
aml_ohsu_2018_12-00127	WXS	WXS
aml_ohsu_2018_12-00362	WXS	WXS
aml_ohsu_2018_12-00371	WXS	WXS
aml_ohsu_2018_13-00004	WXS	WXS
aml_ohsu_2018_13-00098	WXS	WXS
aml_ohsu_2018_13-00106	WXS	WXS
aml_ohsu_2018_13-00118	WXS	WXS
aml_ohsu_2018_13-00149	WXS	WXS
aml_ohsu_2018_13-00157	WXS	WXS
aml_ohsu_2018_13-00160	WXS	WXS
aml_ohsu_2018_13-00163	WXS	WXS
aml_ohsu_2018_13-00165	WXS	WXS
aml_ohsu_2018_13-00166	WXS	WXS
aml_ohsu_2018_13-00186	WXS	WXS
aml_ohsu_2018_13-00195	WXS	WXS
aml_ohsu_2018_13-00201	WXS	WXS
aml_ohsu_2018_13-00202	WXS	WXS
aml_ohsu_2018_13-00204	WXS	WXS
aml_ohsu_2018_13-00218	WXS	WXS
aml_ohsu_2018_13-00226	WXS	WXS
aml_ohsu_2018_13-00232	WXS	WXS
aml_ohsu_2018_13-00236	WXS	WXS
aml_ohsu_2018_13-00237	WXS	WXS
aml_ohsu_2018_13-00242	WXS	WXS
aml_ohsu_2018_13-00245	WXS	WXS
aml_ohsu_2018_13-00247	WXS	WXS
aml_ohsu_2018_13-00250	WXS	WXS
aml_ohsu_2018_13-00253	WXS	WXS
aml_ohsu_2018_13-00262	WXS	WXS
aml_ohsu_2018_13-00268	WXS	WXS
aml_ohsu_2018_13-00270	WXS	WXS
aml_ohsu_2018_13-00273	WXS	WXS
aml_ohsu_2018_13-00281	WXS	WXS
aml_ohsu_2018_13-00286	WXS	WXS
aml_ohsu_2018_13-00294	WXS	WXS
aml_ohsu_2018_13-00331	WXS	WXS
aml_ohsu_2018_13-00338	WXS	WXS
aml_ohsu_2018_13-00342	WXS	WXS
aml_ohsu_2018_13-00346	WXS	WXS
aml_ohsu_2018_13-00353	WXS	WXS
aml_ohsu_2018_13-00354	WXS	WXS
aml_ohsu_2018_13-00365	WXS	WXS
aml_ohsu_2018_13-00383	WXS	WXS
aml_ohsu_2018_13-00384	WXS	WXS
aml_ohsu_2018_13-00393	WXS	WXS
aml_ohsu_2018_13-00396	WXS	WXS
aml_ohsu_2018_13-00406	WXS	WXS
aml_ohsu_2018_13-00409	WXS	WXS
aml_ohsu_2018_13-00417	WXS	WXS
aml_ohsu_2018_13-00420	WXS	WXS
aml_ohsu_2018_13-00424	WXS	WXS
aml_ohsu_2018_13-00425	WXS	WXS
aml_ohsu_2018_13-00450	WXS	WXS
aml_ohsu_2018_13-00454	WXS	WXS
aml_ohsu_2018_13-00466	WXS	WXS
aml_ohsu_2018_13-00468	WXS	WXS
aml_ohsu_2018_13-00487	WXS	WXS
aml_ohsu_2018_13-00493	WXS	WXS
aml_ohsu_2018_13-00496	WXS	WXS
aml_ohsu_2018_13-00497	WXS	WXS
aml_ohsu_2018_13-00500	WXS	WXS
aml_ohsu_2018_13-00513	WXS	WXS
aml_ohsu_2018_13-00515	WXS	WXS
aml_ohsu_2018_13-00522	WXS	WXS
aml_ohsu_2018_13-00532	WXS	WXS
aml_ohsu_2018_13-00535	WXS	WXS
aml_ohsu_2018_13-00537	WXS	WXS
aml_ohsu_2018_13-00540	WXS	WXS
aml_ohsu_2018_13-00545	WXS	WXS
aml_ohsu_2018_13-00551	WXS	WXS
aml_ohsu_2018_13-00552	WXS	WXS
aml_ohsu_2018_13-00554	WXS	WXS
aml_ohsu_2018_13-00557	WXS	WXS
aml_ohsu_2018_13-00558	WXS	WXS
aml_ohsu_2018_13-00563	WXS	WXS
aml_ohsu_2018_13-00572	WXS	WXS
aml_ohsu_2018_13-00573	WXS	WXS
aml_ohsu_2018_13-00578	WXS	WXS
aml_ohsu_2018_13-00593	WXS	WXS
aml_ohsu_2018_13-00600	WXS	WXS
aml_ohsu_2018_13-00601	WXS	WXS
aml_ohsu_2018_13-00602	WXS	WXS
aml_ohsu_2018_13-00614	WXS	WXS
aml_ohsu_2018_13-00615	WXS	WXS
aml_ohsu_2018_13-00619	WXS	WXS
aml_ohsu_2018_13-00622	WXS	WXS
aml_ohsu_2018_13-00625	WXS	WXS
aml_ohsu_2018_13-00650	WXS	WXS
aml_ohsu_2018_13-00654	WXS	WXS
aml_ohsu_2018_13-00655	WXS	WXS
aml_ohsu_2018_13-00658	WXS	WXS
aml_ohsu_2018_13-00659	WXS	WXS
aml_ohsu_2018_13-00660	WXS	WXS
aml_ohsu_2018_14-00004	WXS	WXS
aml_ohsu_2018_14-00012	WXS	WXS
aml_ohsu_2018_14-00015	WXS	WXS
aml_ohsu_2018_14-00021	WXS	WXS
aml_ohsu_2018_14-00026	WXS	WXS
aml_ohsu_2018_14-00034	WXS	WXS
aml_ohsu_2018_14-00041	WXS	WXS
aml_ohsu_2018_14-00045	WXS	WXS
aml_ohsu_2018_14-00052	WXS	WXS
aml_ohsu_2018_14-00060	WXS	WXS
aml_ohsu_2018_14-00063	WXS	WXS
aml_ohsu_2018_14-00064	WXS	WXS
aml_ohsu_2018_14-00066	WXS	WXS
aml_ohsu_2018_14-00067	WXS	WXS
aml_ohsu_2018_14-00078	WXS	WXS
aml_ohsu_2018_14-00081	WXS	WXS
aml_ohsu_2018_14-00083	WXS	WXS
aml_ohsu_2018_14-00092	WXS	WXS
aml_ohsu_2018_14-00096	WXS	WXS
aml_ohsu_2018_14-00111	WXS	WXS
aml_ohsu_2018_14-00113	WXS	WXS
aml_ohsu_2018_14-00126	WXS	WXS
aml_ohsu_2018_14-00127	WXS	WXS
aml_ohsu_2018_14-00134	WXS	WXS
aml_ohsu_2018_14-00135	WXS	WXS
aml_ohsu_2018_14-00141	WXS	WXS
aml_ohsu_2018_14-00150	WXS	WXS
aml_ohsu_2018_14-00152	WXS	WXS
aml_ohsu_2018_14-00171	WXS	WXS
aml_ohsu_2018_14-00173	WXS	WXS
aml_ohsu_2018_14-00175	WXS	WXS
aml_ohsu_2018_14-00180	WXS	WXS
